trace, bp_cnt_sat_bits_p, bht_idx_width_p, bp_n_hist, accuracy
short_server_1, 5, 6, 3, 0.7412394345082559
short_server_1, 5, 9, 3, 0.7829795120195657
short_server_1, 5, 3, 3, 0.6990794994452529
short_server_1, 3, 3, 3, 0.7014378593137616
short_server_1, 4, 6, 3, 0.7489211007302325
short_server_1, 3, 15, 3, 0.9447413181930192
short_server_1, 1, 9, 3, 0.7809908000141209
short_server_1, 4, 3, 3, 0.7011439876370855
short_server_1, 2, 15, 3, 0.9437536312402801
short_server_1, 2, 3, 3, 0.685663100453778
short_server_1, 2, 9, 3, 0.8039788224090205
short_server_1, 2, 6, 3, 0.748103055162671
short_server_1, 3, 9, 3, 0.8003166275068953
short_server_1, 2, 12, 3, 0.8778351850216839
short_server_1, 3, 6, 3, 0.7533634856175315
short_server_1, 3, 12, 3, 0.8773312025086483
short_server_1, 1, 6, 3, 0.7139130791440285
short_server_1, 1, 15, 3, 0.9239794840689421
short_server_1, 5, 15, 3, 0.9409824101455077
short_server_1, 5, 12, 3, 0.868606858389449
short_server_1, 4, 6, 6, 0.7522438438058123
short_server_1, 4, 9, 6, 0.7945744519302333
short_server_1, 4, 12, 6, 0.8743164754776973
short_server_1, 1, 6, 6, 0.711346953551959
short_server_1, 4, 15, 6, 0.9441300153423261
short_server_1, 5, 15, 6, 0.942037637213807
short_server_1, 5, 3, 6, 0.6990794994452529
short_server_1, 1, 3, 6, 0.6273430797897364
short_server_1, 5, 9, 6, 0.7884955207565284
short_server_1, 1, 9, 6, 0.7809070088303857
short_server_1, 3, 12, 6, 0.8780643471903
short_server_1, 3, 15, 6, 0.9455332684203799
short_server_1, 4, 3, 6, 0.7011439876370855
short_server_1, 2, 12, 6, 0.8781604231238906
short_server_1, 2, 6, 6, 0.7474958963560363
short_server_1, 2, 15, 6, 0.9446131042441045
short_server_1, 1, 12, 6, 0.8567806019274279
short_server_1, 2, 9, 6, 0.8039820214723209
short_server_1, 2, 3, 6, 0.685663100453778
short_server_1, 1, 15, 6, 0.9263692146977556
short_server_1, 3, 3, 6, 0.7014378593137616
short_server_1, 3, 9, 6, 0.801916614308375
short_server_1, 3, 6, 6, 0.7555820750293222
short_server_1, 5, 6, 6, 0.7469536291179747
short_server_1, 5, 12, 6, 0.8696305109630599
